Date,Time,Open,Max,Min,Closure,Volume
2012.11.26,00:00,1.2973,1.3006,1.2943,1.2993,7601
2012.11.27,00:00,1.2992,1.3008,1.2915,1.2937,9122
2012.11.28,00:00,1.2938,1.2960,1.2879,1.2950,8995
2012.11.29,00:00,1.2949,1.3013,1.2938,1.2976,7793
2012.11.30,00:00,1.2975,1.3027,1.2967,1.2985,8816
2012.12.03,00:00,1.2994,1.3075,1.2988,1.3058,7828
2012.12.04,00:00,1.3057,1.3107,1.3045,1.3093,7643
2012.12.05,00:00,1.3094,1.3126,1.3059,1.3070,8035
2012.12.06,00:00,1.3069,1.3086,1.2950,1.2957,8697
2012.12.07,00:00,1.2958,1.2972,1.2876,1.2926,8034
2012.12.10,00:00,1.2900,1.2946,1.2885,1.2940,6393
2012.12.11,00:00,1.2941,1.3014,1.2928,1.3008,6687
2012.12.12,00:00,1.3007,1.3096,1.2995,1.3070,7503
2012.12.13,00:00,1.3069,1.3100,1.3040,1.3075,7467
2012.12.14,00:00,1.3074,1.3172,1.3066,1.3162,7210
2012.12.17,00:00,1.3183,1.3186,1.3143,1.3159,6725
2012.12.18,00:00,1.3160,1.3237,1.3155,1.3224,5938
2012.12.19,00:00,1.3223,1.3307,1.3188,1.3198,8005
2012.12.20,00:00,1.3201,1.3294,1.3200,1.3245,7567
2012.12.21,00:00,1.3246,1.3246,1.3158,1.3188,9806
2012.12.24,00:00,1.3179,1.3233,1.3171,1.3186,4268
2012.12.26,00:00,1.3187,1.3253,1.3182,1.3220,3676
2012.12.27,00:00,1.3221,1.3283,1.3201,1.3234,7596
2012.12.28,00:00,1.3235,1.3256,1.3165,1.3216,6830
2012.12.31,00:00,1.3215,1.3234,1.3171,1.3196,6051
2013.01.02,00:00,1.3270,1.3293,1.3156,1.3189,8429
2013.01.03,00:00,1.3187,1.3188,1.3023,1.3037,9945
2013.01.04,00:00,1.3038,1.3089,1.2997,1.3068,9212
2013.01.07,00:00,1.3077,1.3127,1.3016,1.3125,8178
2013.01.08,00:00,1.3126,1.3139,1.3056,1.3080,8788
2013.01.09,00:00,1.3081,1.3095,1.3036,1.3054,8084
2013.01.10,00:00,1.3055,1.3278,1.3038,1.3267,10944
2013.01.11,00:00,1.3266,1.3365,1.3248,1.3342,10642
2013.01.14,00:00,1.3364,1.3403,1.3335,1.3376,8829
2013.01.15,00:00,1.3377,1.3394,1.3263,1.3297,40526
2013.01.16,00:00,1.3298,1.3324,1.3256,1.3291,10083
2013.01.17,00:00,1.3290,1.3387,1.3269,1.3374,11709
2013.01.18,00:00,1.3373,1.3397,1.3280,1.3319,10343
2013.01.21,00:00,1.3311,1.3332,1.3299,1.3316,6125
2013.01.22,00:00,1.3315,1.3371,1.3266,1.3321,11324
2013.01.23,00:00,1.3320,1.3353,1.3264,1.3309,10427
2013.01.24,00:00,1.3310,1.3392,1.3285,1.3379,11364
2013.01.25,00:00,1.3378,1.3478,1.3349,1.3463,11571
2013.01.28,00:00,1.3460,1.3476,1.3424,1.3445,9306
2013.01.29,00:00,1.3446,1.3496,1.3413,1.3486,9719
